question_id,lane,answer_type,round,K,evidence_mode,coverage_incomplete,tickers,parse_rate,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,gold_prob,predicted,correct,brier,nll,p_sys,agent_entropy_fundamental,agent_entropy_trading,agent_gold_prob_fundamental,agent_gold_prob_trading,k_eff_fundamental,k_eff_trading
F31,F,company_choice,0,10,oracle_evidence,False,AMZN|WMT|COST,1.0,0.42270908780599087,0.30543215102744675,0.11727693677854412,0.4477090878059909,0.3304321510274468,0.11727693677854412,0.30492015235820025,0.22032272480767318,0.08459742755052704,0.2774412478029577,0.85,COST,True,0.045000000000000005,0.4307829160924542,"{""AMZN"": 0.15, ""WMT"": 0.0, ""COST"": 0.85, ""insufficient_data"": 0.0}",-0.0,0.6108643020548935,1.0,0.7,10,10
F31,F,company_choice,1,10,oracle_evidence,False,AMZN|WMT|COST,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,COST,True,0.0,0.2876820724517809,"{""AMZN"": 0.0, ""WMT"": 0.0, ""COST"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,1.0,1.0,10,10
F44,F,open_summary_with_canonical_claim,0,10,oracle_evidence,False,AMZN|META,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,claim_true,True,0.0,0.25131442828090605,"{""claim_true"": 1.0, ""claim_false"": 0.0, ""mixed"": 0.0}",-0.0,-0.0,1.0,1.0,10,10
F44,F,open_summary_with_canonical_claim,1,10,oracle_evidence,False,AMZN|META,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,claim_true,True,0.0,0.25131442828090605,"{""claim_true"": 1.0, ""claim_false"": 0.0, ""mixed"": 0.0}",-0.0,-0.0,1.0,1.0,10,10
FT1,FT,supportive_judgment,0,10,oracle_evidence,True,AAPL,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,conditional,True,0.0,0.2876820724517809,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,1.0,1.0,10,10
FT1,FT,supportive_judgment,1,10,oracle_evidence,True,AAPL,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,conditional,True,0.0,0.2876820724517809,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,1.0,1.0,10,10
FT10,FT,supportive_judgment,0,10,oracle_evidence,True,QCOM,1.0,0.42270908780599087,0.30543215102744675,0.11727693677854412,0.4477090878059909,0.3304321510274468,0.11727693677854412,0.30492015235820025,0.22032272480767318,0.08459742755052704,0.2774412478029577,0.0,conditional,False,1.7449999999999999,2.4849066497880004,"{""supportive"": 0.0, ""unsupportive"": 0.15, ""conditional"": 0.85, ""insufficient_data"": 0.0}",-0.0,0.6108643020548935,0.0,0.0,10,10
FT10,FT,supportive_judgment,1,10,oracle_evidence,True,QCOM,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,conditional,False,2.0,2.4849066497880004,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,0.0,0.0,10,10
FT12,FT,yes_no_mixed,0,10,oracle_evidence,False,AMD,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,mixed,False,2.0,2.4849066497880004,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,0.0,0.0,10,10
FT12,FT,yes_no_mixed,1,10,oracle_evidence,False,AMD,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,mixed,False,2.0,2.4849066497880004,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,0.0,0.0,10,10
FT2,FT,supportive_judgment,0,10,oracle_evidence,False,TSLA,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,conditional,False,2.0,2.4849066497880004,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,0.0,0.0,10,10
FT2,FT,supportive_judgment,1,10,oracle_evidence,False,TSLA,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,conditional,False,2.0,2.4849066497880004,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,0.0,0.0,10,10
FT25,FT,supportive_judgment,0,10,oracle_evidence,False,NFLX,1.0,0.1985152433458726,0.1625414866957241,0.035973756650148486,0.22351524334587258,0.1875414866957241,0.035973756650148486,0.1431984785579781,0.11724889839732029,0.025949580160657796,0.18121407728610292,0.95,conditional,True,0.0050000000000000044,0.33314444652853825,"{""supportive"": 0.0, ""unsupportive"": 0.05, ""conditional"": 0.95, ""insufficient_data"": 0.0}",-0.0,0.3250829733914482,1.0,0.9,10,10
FT25,FT,supportive_judgment,1,10,oracle_evidence,False,NFLX,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,conditional,True,0.0,0.2876820724517809,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,1.0,1.0,10,10
FT31,FT,supportive_judgment,0,10,oracle_evidence,False,META,1.0,0.5623351446188083,0.5556333627965406,0.006701781822267661,0.5873351446188083,0.6056333627965407,0.0,0.4056390622295664,0.4008047485295137,0.004834313700052677,0.01191777161075468,0.25,insufficient_data,False,1.125,1.3862943611198906,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 0.25, ""insufficient_data"": 0.75}",0.6108643020548935,0.5004024235381879,0.3,0.2,10,10
FT31,FT,supportive_judgment,1,10,oracle_evidence,False,META,1.0,0.6108643020548935,0.33650583350462826,0.27435846855026524,0.6358643020548935,0.3615058335046283,0.27435846855026524,0.44064544961534635,0.2427376486136672,0.19790780100167915,0.4491316117627886,0.3,insufficient_data,False,0.9799999999999999,1.2611312181658845,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 0.3, ""insufficient_data"": 0.7}",-0.0,0.6730116670092565,0.0,0.6,10,10
T1,T,screening_top1,0,20,oracle_evidence,False,APP|INTC|IDXX|SHOP|AAPL,0.875,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,APP,True,0.0,0.325422400434628,"{""APP"": 1.0, ""INTC"": 0.0, ""IDXX"": 0.0, ""SHOP"": 0.0, ""AAPL"": 0.0, ""none_clear"": 0.0}",-0.0,-0.0,1.0,1.0,18,17
T1,T,screening_top1,1,20,oracle_evidence,False,APP|INTC|IDXX|SHOP|AAPL,0.9,0.6754645824509031,0.6571167775575952,0.018347804893307895,0.689353471339792,0.6852417775575952,0.004111693782196779,0.3769839613248502,0.36674385644000607,0.01024010488484411,0.027163237525694436,0.59375,APP,True,0.330078125,0.7954260296803635,"{""APP"": 0.5938, ""INTC"": 0.0, ""IDXX"": 0.0, ""SHOP"": 0.0, ""AAPL"": 0.4062, ""none_clear"": 0.0}",0.6931471805599453,0.6210863745552451,0.5,0.6875,20,16
T10,T,screening_top1,0,20,oracle_evidence,False,AAPL|NVDA|INTC|MSFT|TSLA,1.0,0.42270908780599087,0.30543215102744675,0.11727693677854412,0.4352090878059909,0.31793215102744676,0.11727693677854412,0.23591843384430777,0.1704649291788235,0.06545350466548427,0.2774412478029577,0.85,AAPL,True,0.045000000000000005,0.4744579795951158,"{""AAPL"": 0.85, ""NVDA"": 0.0, ""INTC"": 0.0, ""MSFT"": 0.0, ""TSLA"": 0.15, ""none_clear"": 0.0}",-0.0,0.6108643020548935,1.0,0.7,20,20
T10,T,screening_top1,1,20,oracle_evidence,False,AAPL|NVDA|INTC|MSFT|TSLA,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,AAPL,True,0.0,0.325422400434628,"{""AAPL"": 1.0, ""NVDA"": 0.0, ""INTC"": 0.0, ""MSFT"": 0.0, ""TSLA"": 0.0, ""none_clear"": 0.0}",-0.0,-0.0,1.0,1.0,20,20
T2,T,screening_top1,0,20,oracle_evidence,False,INTC|MU|LRCX|APP|MRVL,1.0,1.0892986489440664,0.8665441582408955,0.22275449070317088,1.1267986489440664,0.9290441582408955,0.19775449070317097,0.6079491514636001,0.48362750309014935,0.12432164837345068,0.20449349764557448,0.0,LRCX,False,1.40875,2.890371757896165,"{""INTC"": 0.0, ""MU"": 0.25, ""LRCX"": 0.575, ""APP"": 0.1, ""MRVL"": 0.075, ""none_clear"": 0.0}",0.639031859650177,1.094056456831614,0.0,0.0,20,20
T2,T,screening_top1,1,20,oracle_evidence,False,INTC|MU|LRCX|APP|MRVL,1.0,0.6818546087307834,0.21135454390299543,0.47050006482778794,0.6943546087307834,0.22385454390299545,0.47050006482778794,0.3805503028955931,0.11795921692215389,0.26259108597343916,0.6900298961146355,0.0,LRCX,False,1.51125,2.890371757896165,"{""INTC"": 0.0, ""MU"": 0.425, ""LRCX"": 0.575, ""APP"": 0.0, ""MRVL"": 0.0, ""none_clear"": 0.0}",0.42270908780599087,-0.0,0.0,0.0,20,20
