q,lane,outcome,flow,cms,prd
FT35,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT36,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT37,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT38,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT39,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT4,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT40,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT41,FT,DEBATE_RESCUE,NOISE_REDUCTION,False,True
FT42,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT43,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT44,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
FT45,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT46,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT47,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT48,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT49,FT,STABLE_SUCCESS,NOISE_REDUCTION,False,False
FT5,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT50,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT6,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT7,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT8,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT9,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T1,T,STABLE_SUCCESS,MIXED_FLOW,False,False
T10,T,STABLE_SUCCESS,NOISE_REDUCTION,False,False
T11,T,CORRECTNESS_LOST,FALSE_CONSENSUS,False,False
T12,T,STABLE_FAILURE,NOISE_REDUCTION,False,True
T13,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T14,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T16,T,STABLE_FAILURE,MIXED_FLOW,False,False
T17,T,STABLE_FAILURE,MIXED_FLOW,False,False
T19,T,STABLE_FAILURE,MIXED_FLOW,False,False
T2,T,STABLE_FAILURE,NOISE_REDUCTION,False,False
T20,T,STABLE_SUCCESS,NOISE_REDUCTION,False,False
T21,T,STABLE_SUCCESS,MIXED_FLOW,False,True
T22,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T23,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T24,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T27,T,STABLE_FAILURE,MIXED_FLOW,False,False
T29,T,STABLE_FAILURE,MIXED_FLOW,False,False
T3,T,STABLE_FAILURE,MIXED_FLOW,False,False
T31,T,STABLE_FAILURE,MIXED_FLOW,False,False
T32,T,STABLE_SUCCESS,ALEATORIC_DESTABILIZATION,False,True
T33,T,STABLE_SUCCESS,ALEATORIC_DESTABILIZATION,False,False
T34,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T35,T,STABLE_FAILURE,MIXED_FLOW,False,False
T37,T,STABLE_SUCCESS,MIXED_FLOW,False,False
T38,T,STABLE_FAILURE,MIXED_FLOW,False,False
T4,T,CORRECTNESS_LOST,MIXED_FLOW,False,True
T40,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T41,T,DEBATE_RESCUE,MIXED_FLOW,False,False
T42,T,STABLE_FAILURE,MIXED_FLOW,False,False
T44,T,STABLE_FAILURE,MIXED_FLOW,False,False
T45,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T46,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T47,T,STABLE_SUCCESS,NOISE_REDUCTION,False,False
T48,T,STABLE_FAILURE,MIXED_FLOW,False,False
T49,T,STABLE_FAILURE,MIXED_FLOW,False,False
T50,T,STABLE_FAILURE,MIXED_FLOW,False,False
T6,T,STABLE_FAILURE,FALSE_CONSENSUS,False,False
T7,T,STABLE_FAILURE,MIXED_FLOW,False,False
T8,T,DEBATE_RESCUE,MIXED_FLOW,False,True
T9,T,STABLE_FAILURE,MIXED_FLOW,False,False
