question_id,lane,answer_type,round,K,evidence_mode,intervention,coverage_incomplete,tickers,parse_rate,gold_scoreable,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,predicted,p_noncommit,p_noncommit_fundamental,p_noncommit_trading,p_sys,agent_entropy_fundamental,agent_entropy_trading,k_eff_fundamental,k_eff_trading,gold_prob,correct,brier,nll,agent_gold_prob_fundamental,agent_gold_prob_trading,error,model,source_benchmark,hedgeqa_transformation,gold_commitment
hqa_FB_11e71606,F,yes_no,0,10,hedgeqa_oracle,,False,,1.0,True,0.1985152433458726,0.1625414866957241,0.035973756650148486,0.22351524334587258,0.1875414866957241,0.035973756650148486,0.18069636157678548,0.14795163714469228,0.032744724432093204,0.18121407728610292,no,0.0,0.0,0.0,"{""yes"": 0.05, ""no"": 0.95, ""insufficient_data"": 0.0}",0.3250829733914482,-0.0,10,10,0.95,True,0.0050000000000000044,0.29511705093929913,0.9,1.0,,gemma4:latest,financebench,none,committed
hqa_FB_11e71606,F,yes_no,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,no,0.0,0.0,0.0,"{""yes"": 0.0, ""no"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.25131442828090605,1.0,1.0,,gemma4:latest,financebench,none,committed
hqa_TAT_55755d65_masked,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,0.6474466390346325,0.30543215102744675,0.34201448800718576,0.6724466390346325,0.3304321510274468,0.34201448800718576,0.46703402768774555,0.22032272480767318,0.24671130288007237,0.5282512370705057,insufficient_data,0.65,1.0,0.3,"{""increased"": 0.0, ""decreased"": 0.35, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.65}",-0.0,0.6108643020548935,10,10,0.65,True,0.24499999999999997,0.6603573577369544,1.0,0.3,,gemma4:latest,tatqa,evidence_masked_insufficient,noncommitted
hqa_TAT_55755d65_masked,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""increased"": 0.0, ""decreased"": 0.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,gemma4:latest,tatqa,evidence_masked_insufficient,noncommitted
hqa_TAT_0a4b6243,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,0.6881388137135884,0.683079423784601,0.005059389928987468,0.7131388137135884,0.733079423784601,0.0,0.49638722699390414,0.49273764861366726,0.0036495783802368924,0.007352281005171213,decreased,0.0,0.0,0.0,"{""increased"": 0.45, ""decreased"": 0.55, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",0.6931471805599453,0.6730116670092565,10,10,0.55,True,0.40499999999999997,0.7985076962177716,0.5,0.6,,gemma4:latest,tatqa,numeric_to_directional,committed
hqa_TAT_0a4b6243,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,0.6931471805599453,0.0,0.6931471805599453,0.7181471805599453,0.0,0.7181471805599453,0.5,0.0,0.5,1.0,increased,0.0,0.0,0.0,"{""increased"": 0.5, ""decreased"": 0.5, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.5,False,0.5,0.8754687373538999,1.0,0.0,,gemma4:latest,tatqa,numeric_to_directional,committed
hqa_TAT_10183a57,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,increased,0.0,0.0,0.0,"{""increased"": 1.0, ""decreased"": 0.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,,gemma4:latest,tatqa,numeric_to_directional,committed
hqa_TAT_10183a57,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,increased,0.0,0.0,0.0,"{""increased"": 1.0, ""decreased"": 0.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,,gemma4:latest,tatqa,numeric_to_directional,committed
hqa_FQ_23b54354_masked,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""increased"": 0.0, ""decreased"": 0.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,gemma4:latest,finqa,evidence_masked_insufficient,noncommitted
hqa_FQ_23b54354_masked,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""increased"": 0.0, ""decreased"": 0.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,gemma4:latest,finqa,evidence_masked_insufficient,noncommitted
hqa_FQ_0921febd,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,0.6931471805599453,0.6108643020548935,0.08228287850505178,0.7181471805599453,0.6608643020548935,0.05728287850505176,0.5,0.44064544961534635,0.05935455038465365,0.1187091007693073,increased,0.0,0.0,0.0,"{""increased"": 0.5, ""decreased"": 0.5, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",0.6108643020548935,0.6108643020548935,10,10,0.5,False,0.5,0.8754687373538999,0.7,0.3,,gemma4:latest,finqa,numeric_to_directional,committed
hqa_FQ_0921febd,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,decreased,0.0,0.0,0.0,"{""increased"": 0.0, ""decreased"": 1.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,gemma4:latest,finqa,numeric_to_directional,committed
hqa_FQ_0bb282d6,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,decreased,0.0,0.0,0.0,"{""increased"": 0.0, ""decreased"": 1.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,gemma4:latest,finqa,numeric_to_directional,committed
hqa_FQ_0bb282d6,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,decreased,0.0,0.0,0.0,"{""increased"": 0.0, ""decreased"": 1.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,gemma4:latest,finqa,numeric_to_directional,committed
hqa_CFQ_13c20530_masked,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""increased"": 0.0, ""decreased"": 0.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,gemma4:latest,convfinqa,evidence_masked_insufficient,noncommitted
hqa_CFQ_13c20530_masked,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""increased"": 0.0, ""decreased"": 0.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,gemma4:latest,convfinqa,evidence_masked_insufficient,noncommitted
hqa_CFQ_05f42dea,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,decreased,0.0,0.0,0.0,"{""increased"": 0.0, ""decreased"": 1.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,gemma4:latest,convfinqa,numeric_to_directional,committed
hqa_CFQ_05f42dea,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,decreased,0.0,0.0,0.0,"{""increased"": 0.0, ""decreased"": 1.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,gemma4:latest,convfinqa,numeric_to_directional,committed
hqa_CFQ_07480310,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,0.6474466390346325,0.49904732020035236,0.14839931883428015,0.6724466390346325,0.5490473202003524,0.12339931883428013,0.46703402768774555,0.3599865470109875,0.10704748067675807,0.22920702632042259,increased,0.0,0.0,0.0,"{""increased"": 0.65, ""decreased"": 0.35, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",0.3250829733914482,0.6730116670092565,10,10,0.35,False,0.8450000000000001,1.1499055830556604,0.1,0.6,,gemma4:latest,convfinqa,numeric_to_directional,committed
hqa_CFQ_07480310,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,decreased,0.0,0.0,0.0,"{""increased"": 0.0, ""decreased"": 1.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,gemma4:latest,convfinqa,numeric_to_directional,committed
