question_id,lane,answer_type,question,answer_space,gold_label,schema_noncommit_set,schema_gold_commitment,gold_label_evidence,canonical_claim,ambiguity_notes,schema_confidence,manual_gold_label,manual_gold_commitment,manual_confidence,manual_notes,needs_schema_revision
FT5,FT,category_choice,Should I hold or sell my Amazon shares after the Q2 2025 rally?,hold|sell|conditional|insufficient_data,hold,conditional|insufficient_data,committed,holding the position to capture potential remaining upside is technically supported ... monitoring the MA_20 as a strict stop-loss level.,"Rally not exhausted (RSI ~53, price > MA_20) — hold with MA_20 stop; upside may be capped.",conditional defensible (stop-loss framing),medium,,,,,
FT8,FT,supportive_judgment,Should I buy Netflix after its Q2 2025 earnings beat?,supportive|unsupportive|conditional|insufficient_data,unsupportive,conditional|insufficient_data,committed,I would not recommend buying Netflix (NFLX) stock immediately following its Q2 2025 earnings beat ... significant overbought conditions with an RSI of 80.35.,Overbought (RSI 80) + rich valuation after +44% = elevated reversal risk; not an immediate buy.,conditional defensible (wait-for-pullback flavor),medium,,,,,
F10,F,open_summary_with_canonical_claim,Why is Broadcom's stock price so high in 2025 despite being in semiconductors?,claim_true|claim_false|mixed,claim_true,mixed,committed,"AVGO's price premium stems from exceptional medium/long-term momentum and cash-efficient operations signaling outsized growth, not current earnings.","AVGO's premium reflects momentum and growth expectations backed by cash-efficient operations, not current earnings.",open-ended why-question,medium,,,,,
F15,F,graded_judgment,"As of Q3 2025, how financially sound is Qualcomm compared to other chip companies?",sound|mixed|weak|insufficient_data,sound,insufficient_data|mixed,committed,"Qualcomm (QCOM) appears financially sound and stable, exhibiting the characteristics of a mature industry incumbent.","QCOM is financially sound: prudent leverage, positive consistent profitability, stable market behavior.",peer comparison is loose in gold (uses available peers),medium,,,,,
F16,F,yes_no_mixed,Does Amazon's massive infrastructure create financial risk in the current 2025 economy?,yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,"does not create a significant structural financial risk regarding solvency, but it does present efficiency challenges.","No structural solvency risk (low leverage); the real issue is asset efficiency, which the market penalizes.",mixed is defensible given the efficiency caveat,medium,,,,,
F26,F,valuation_judgment,Is PayPal undervalued or appropriately priced based on 2025 data?,undervalued|fairly_priced|overvalued|insufficient_data,undervalued,insufficient_data,committed,PayPal appears mildly undervalued ... current price may not fully reflect its intrinsic stability and potential for mean reversion.,Mildly undervalued: long-term underperformance + strong balance sheet suggest mean-reversion value.,'mildly' — fairly_priced defensible,medium,,,,,
F28,F,valuation_judgment,Is Adobe expensive or reasonably priced for the year-to-date 2025?,expensive|fair|cheap|insufficient_data,expensive,insufficient_data,committed,"Adobe (ADBE) appears to be expensive relative to its book value, despite becoming more reasonably priced relative to its recent trading history.","Still expensive on fundamentals (P/B ~15.5x, moderate ROE) despite the price correction.",gold has a relative-to-history caveat; fair is defensible,medium,,,,,
F31,F,company_choice,"As of mid-2025, which company uses its assets most efficiently: Amazon, Walmart, or Costco?",AMZN|WMT|COST|insufficient_data,COST,insufficient_data,committed,Costco (COST) uses its assets most efficiently ... asset turnover (F_Sales/Assets = 0.8374) is over 3x higher than Amazon's. No data is available for Walmart.,Costco leads on asset turnover among the comparable companies; Walmart is excluded for missing data.,Gold picks COST despite partial WMT data absence; an agent answering insufficient_data is wrong per gold but defensibly cautious — track this cell.,medium,,,,,
F34,F,graded_judgment,"Based on Q2 2025 data, how efficiently does Google use its assets compared to other tech giants?",more_efficient|similar|less_efficient|insufficient_data,more_efficient,insufficient_data,committed,"GOOGL outperforms across all metrics, demonstrating superior asset efficiency.","GOOGL beats the available peer on Sales/Assets, ROA and Cash Flow/Assets (peer set limited).",gold notes broader benchmarking would need more peers,medium,,,,,
F39,F,graded_judgment,How efficiently does Broadcom generate in 2025?,efficient|moderate|inefficient|insufficient_data,moderate,insufficient_data,committed,Broadcom generates returns with moderate efficiency relative to its capital base ... ROA of 3.35% ... asset turnover relatively low.,"Moderate operational efficiency (low turnover, leverage-boosted ROE) despite strong shareholder returns.",question wording truncated in source,medium,,,,,
F4,F,yes_no_mixed,Is Nvidia's profitability sustainable with its valuation in September 2025?,yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,"Nvidia's profitability is highly sustainable and supported by strong operational efficiency, though its valuation leaves little room for error.","Profitability sustainable (ROE 33%, ROA 21%, low leverage); valuation priced for continuation.",valuation caveat makes mixed defensible,medium,,,,,
F41,F,screening_top1,"As of September 2025, which NASDAQ stocks are best for dividend income investors?",KHC|CCEP|CSCO|TXN|none_clear,KHC,none_clear,committed,Top Yield & Stability: The Kraft Heinz Company (KHC) ... Yield: 1.56% (Highest in the dataset).,KHC has the highest yield with stability (weak ROE caveat); CCEP the strongest balanced income pick.,gold splits 'top yield' (KHC) vs 'balanced' (CCEP),medium,,,,,
F42,F,yes_no_mixed,"In 2025, does Microsoft return more capital to shareholders than Apple?",yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,"No, Microsoft did not return more capital to shareholders than Apple in 2025.",Apple's buyback-driven total capital return exceeds Microsoft's higher-dividend-yield profile.,"buyback inference from cash flow/ROE, not direct data",medium,,,,,
F44,F,open_summary_with_canonical_claim,"Why don't high-growth tech companies (like Amazon, Meta) pay dividends in 2025?",claim_true|claim_false|mixed,claim_true,mixed,committed,shareholder value is better maximized through reinvestment rather than payouts ... capital gains derived from this reinvestment strategy over immediate income.,"They retain capital because reinvestment at high internal returns (high ROE, strong cash flow, momentum-driven appreciation) exceeds the value of payouts.",Open-ended; scored on canonical claim assertion. Parser needs the schema-aware LLM fallback more than others.,medium,,,,,
F8,F,graded_judgment,"For the first half of 2025, how profitable is Netflix compared to traditional media companies?",higher|similar|lower|insufficient_data,higher,insufficient_data,committed,"Netflix is more profitable than traditional media companies in the first half of 2025, evidenced by superior ROA (6.36% vs. peers' 1-5%), ROE (13.28% vs. 3-10%).",NFLX beats traditional-media profitability on ROA/ROE/cash-flow efficiency.,gold asserts peer ranges not fully present in evidence — justified insufficiency answers possible,medium,,,,,
T1,T,screening_top1,"As of August 2025, which NASDAQ 100 stocks are in strong uptrends?",APP|INTC|IDXX|SHOP|AAPL|none_clear,APP,none_clear,committed,AppLovin (APP): This is the strongest trend in the dataset ... 26.22% gain with a significantly high MACD of 23.17.,"APP shows the strongest August-2025 uptrend; INTC, IDXX, SHOP, AAPL are ranked runners-up.",Gold provides an explicit #1; candidate shortlist = gold's own top-5. Evidence pack must cover all five tickers symmetrically.,medium,,,,,
T10,T,screening_top1,What companies show unusual volume accumulation for the month of August 2025?,AAPL|NVDA|INTC|MSFT|TSLA|none_clear,AAPL,none_clear,committed,"Apple Inc. (AAPL), Nvidia (NVDA), and Intel (INTC) exhibit the most significant and unusual volume accumulation ... AAPL demonstrates the healthiest accumulation profile.",AAPL shows the most significant (and healthiest) unusual volume accumulation; NVDA and INTC are the other notable names.,Gold lists three 'most significant'; AAPL first and called healthiest. Lenient scoring must be reported alongside.,medium,,,,,
T11,T,screening_top1,Which NASDAQ stocks are seeing volume-confirmed breakdowns as of July 2025?,GEHC|GFS|MRVL|KDP|none_clear,GEHC,none_clear,committed,the NASDAQ stocks exhibiting volume-confirmed breakdowns are GEHC and GFS ... the only matches in the dataset.,GEHC and GFS are the only names with price breakdown + negative-OBV volume confirmation.,"two-element gold set, GEHC listed first",medium,,,,,
T12,T,screening_top1,"Based on Q3 2025 data, what stocks have volume patterns suggesting institutional accumulation?",NVDA|AAPL|GOOGL|TSLA|INTC|none_clear,NVDA,none_clear,committed,NVDA and AAPL (alongside GOOGL and TSLA) exhibit the strongest volume patterns suggesting institutional accumulation.,"Mega-cap OBV in the hundreds of billions + price appreciation = institutional accumulation (NVDA, AAPL leading).",NVDA first-listed of a strongest-pair,medium,,,,,
T20,T,screening_top1,What companies are showing the strongest reversal signals in August 2025?,TXN|KDP|TTD|MRVL|none_clear,TXN,none_clear,committed,"the strongest reversal signals in August 2025 are TXN for a potential downward reversal, and KDP, TTD, MRVL for potential upward reversals.",TXN (overbought RSI 85) leads downward-reversal signals; KDP/TTD/MRVL lead upward.,multiple superlatives on different dimensions; TXN first-listed,medium,,,,,
T23,T,screening_top1,"As of July 2025, which stocks are forming potential double bottom patterns?",MU|ISRG|INTC|KDP|none_clear,MU,none_clear,committed,MU (Micron Technology) and ISRG (Intuitive Surgical) are the most plausible candidates forming potential double bottom patterns.,MU and ISRG: declines + momentum stabilization + oversold RSI + fundamental resilience = double-bottom candidates.,"two-element gold, MU first-listed",medium,,,,,
T31,T,screening_top1,Which stocks are best for swing trading during September 2025?,APP|WBD|CMCSA|MU|none_clear,APP,none_clear,committed,"the stocks best suited for swing trading are APP (AppLovin), WBD, and CMCSA, depending on strategy ... APP is the strongest candidate for trend-following strategies.","APP is the strongest swing candidate (momentum); WBD for volatility, CMCSA for reversal styles.",strategy-dependent split; APP flagged strongest,medium,,,,,
T32,T,screening_top1,What companies are suitable for momentum trading strategies as of Q3 2025?,APP|TSLA|INTC|PLTR|LRCX|none_clear,APP,none_clear,committed,"the most suitable companies for momentum trading strategies are APP, TSLA, INTC, PLTR, LRCX, WBD, EA, BKR, AAPL, and NVDA (APP first; exceptional gains 23-113%).","APP heads a ten-name momentum-suitability list (23-113% gains, bullish crossovers, RSI 60-90).",ten-name gold set reduced to top-5 shortlist by listing order,medium,,,,,
T37,T,screening_top1,Which NASDAQ stocks are breaking down from consolidation in August 2025?,KDP|MRVL|TXN|TTD|none_clear,KDP,none_clear,committed,Keurig Dr Pepper (KDP) and Marvell Technology (MRVL) are the clearest examples of stocks breaking down from consolidation.,"KDP (RSI 18.8 after -12.7%) and MRVL (-15.6%, -18.6% one-day) broke down from tight consolidations.","two-element gold, KDP detailed first",medium,,,,,
T38,T,screening_top1,What stocks are showing the strongest continuation patterns in mid-2025?,APP|LRCX|INTC|MU|none_clear,APP,none_clear,committed,"Lam Research (LRCX) and AppLovin (APP) exhibit the strongest and most sustainable continuation patterns (numbered list: 1. AppLovin, 2. Lam Research).",APP and LRCX have the strongest sustainable continuations (momentum + operational backing); INTC/MU rawer but riskier.,two-way gold; APP numbered first,medium,,,,,
T4,T,screening_top1,"During July 2025, what stocks are breaking out of long-term downtrends?",SHOP|WBD|XEL|INTC|none_clear,SHOP,none_clear,committed,"a technical breakout ... supported by strong business operations (like SHOP) or a highly leveraged, higher-risk turnaround play (like WBD and XEL).",SHOP is the fundamentals-supported long-term-downtrend breakout; WBD/XEL are leveraged turnaround variants.,gold excerpt truncated; SHOP is its exemplar of a supported breakout,medium,,,,,
T40,T,screening_top1,"What NASDAQ companies are most correlated with market volatility, based on 2025 data?",PLTR|AMD|AVGO|LULU|none_clear,PLTR,none_clear,committed,"the companies that exhibit the highest proxy correlation with market volatility ... are Palantir (PLTR), Advanced Micro Devices (AMD), Broadcom (AVGO), and Lululemon (LULU).",PLTR/AMD/AVGO (upside) and LULU (downside) show the most extreme 2025 swings — the volatility-sensitive set.,"proxy correlation = extreme swings, not beta",medium,,,,,
T41,T,screening_top1,Which stocks are showing the strongest momentum acceleration as of September 2025?,APP|INTC|MRVL|WBD|none_clear,APP,none_clear,committed,"AppLovin Corp (APP), Intel (INTC), and Marvell Technology (MRVL) are showing the strongest momentum acceleration ... APP exhibits the most robust 'quality' momentum.",APP has the most robust accelerating momentum (5D 0.10 with ROE backing); INTC the fastest raw acceleration; WBD stalled.,APP quality-leader vs INTC raw-rate — APP is gold's #1,medium,,,,,
T42,T,screening_top1,"What companies have the most reliable moving average signals, based on 2025 back-testing?",APP|MELI|GOOGL|INTC|none_clear,APP,none_clear,committed,AppLovin (APP) and MercadoLibre (MELI) exhibit the most reliable moving average signals.,"APP and MELI: prices above MAs with bullish MACD, validated by exceptional ROE — most reliable MA signals.","two-element gold, APP first",medium,,,,,
T48,T,screening_top1,What stocks are most vulnerable to sudden reversals in the current September 2025 market?,INTC|WBD|AMAT|CMCSA|none_clear,INTC,none_clear,committed,"the stocks most vulnerable to sudden reversals are Intel (INTC), Warner Bros. Discovery (WBD), Applied Materials (AMAT), and Comcast (CMCSA) — INTC and WBD exhibit the highest risk.",INTC and WBD: overbought speculative rallies unsupported by profitability = highest snap-back risk.,INTC/WBD near-tied; INTC first-listed,medium,,,,,
T6,T,screening_top1,"What companies have RSI levels suggesting they're oversold but not in free fall, as of May 2025?",EA|INTC|MSTR|CPRT|none_clear,EA,none_clear,committed,"the companies meeting both criteria — RSI suggesting oversold without free fall evidence — are EA, INTC, and MSTR.",EA/INTC/MSTR: oversold RSI with mild declines (CPRT/PDD excluded as free-fall).,"three-element gold, EA first-listed",medium,,,,,
FT12,FT,yes_no_mixed,Has AMD's momentum turned positive after the July 2025 selloff?,yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,AMD's momentum has turned positive in the short term following the July 2025 period ... short-term signals affirm a positive momentum shift.,"Short-term momentum indicators (Momentum_5D/20D, MACD>signal, price>MAs) confirm a positive turn, with overbought-RSI caution.",Gold notes medium-term weakness but concludes yes for the asked (post-selloff short-term) frame.,high,,,,,
FT13,FT,supportive_judgment,"In mid-2025, should I switch from bonds to Pepsi stock for income?",supportive|unsupportive|conditional|insufficient_data,unsupportive,conditional|insufficient_data,committed,you should not switch from bonds to Pepsi stock if your primary goal is income ... dividend yield of 0.0000 for PEP.,"Zero recorded yield + leverage risk make the switch a growth bet, not an income substitution.",PEP yield=0 in data is likely a data artifact — agents may flag it; still parses unsupportive,high,,,,,
FT15,FT,category_choice,"As of September 2025, is PayPal a value trap or genuine opportunity?",value_trap|genuine_opportunity|mixed|insufficient_data,value_trap,insufficient_data|mixed,committed,PayPal appears more likely to be a value trap than a genuine opportunity ... low valuation is a rational market assessment of diminished prospects.,"Weak profitability + sustained negative momentum → the low valuation is rational, a trap.",note: F26's gold called PYPL 'mildly undervalued' on 2025 data — cross-question gold tension worth reporting,high,,,,,
F11,F,yes_no_mixed,"As of August 2025, is Tesla financially stable enough to weather an economic downturn?",yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,"Tesla is financially stable enough to weather an economic downturn, primarily driven by its robust solvency position.",Tesla's very low leverage (D/E ~0.09) makes it solvent enough to survive a downturn despite thin margins.,Gold is unambiguous.,high,,,,,
F12,F,company_choice,"As of September 2025, which tech giant has the strongest balance sheet: Apple, Microsoft, or Google?",AAPL|MSFT|GOOGL|insufficient_data,GOOGL,insufficient_data,committed,Google (GOOGL) has the strongest balance sheet among the three tech giants ... Debt/Equity ratio of 0.0980.,"Google has the strongest balance sheet of the three, via the lowest leverage.",None; gold ranks explicitly.,high,,,,,
F2,F,company_choice,"Based on Q3 2025 data, which generates better returns for shareholders: Microsoft or Google?",MSFT|GOOGL|insufficient_data,GOOGL,insufficient_data,committed,Alphabet (GOOGL) generated significantly better returns for shareholders compared to Microsoft ... 38.41% dwarfed MSFT's 5.48%.,"GOOGL delivered far higher Q3-2025 shareholder returns than MSFT, driven by price appreciation.",None.,high,,,,,
F21,F,company_choice,Is Microsoft cheaper or more expensive than Apple in September 2025?,MSFT|AAPL|similar|insufficient_data,MSFT,insufficient_data,committed,Microsoft is cheaper than Apple ... Book-to-Price ratio of 0.0929 compared to Apple's 0.0220.,MSFT is the cheaper of the two on book-value and RSI-stretch grounds.,label semantics stated in prompt,high,,,,,
F47,F,premise_check,Why does Intel maintain its dividend in 2025 despite its challenges?,premise_false|premise_true_explained|insufficient_data,premise_false,insufficient_data,committed,"Intel does not maintain a dividend in 2025, as evidenced by a dividend yield of 0.0000 ... The premise is inconsistent with the data.",The premise is false: INTC's yield is 0.0000; there is no dividend to maintain.,tests premise-checking against evidence,high,,,,,
T2,T,screening_top1,"For the week ending September 12, 2025, what stocks are showing the strongest short-term momentum?",INTC|MU|LRCX|APP|MRVL|none_clear,INTC,none_clear,committed,"INTC (0.5039) and MU (0.4306) lead decisively ... top 5 (INTC, MU, LRCX, APP, MRVL).","INTC leads short-term momentum (Momentum_20D 0.50), with MU, LRCX, APP, MRVL completing the top five.",Numeric ranking in gold makes top-1 defensible.,high,,,,,
