question_id,lane,answer_type,round,K,evidence_mode,coverage_incomplete,tickers,parse_rate,gold_scoreable,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,predicted,p_noncommit,p_noncommit_fundamental,p_noncommit_trading,p_sys,agent_entropy_fundamental,agent_entropy_trading,k_eff_fundamental,k_eff_trading,gold_prob,correct,brier,nll,agent_gold_prob_fundamental,agent_gold_prob_trading,model,gold_label,noncommit_is_gold,predicted_is_noncommit,prediction_commitment_cell,strict_correct,strict_error,lenient_correct,error_type,ticker1
F19,F,company_choice,1,10,oracle_evidence,False,AMD|INTC,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,AMD,0.0,0.0,0.0,"{""AMD"": 1.0, ""INTC"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.251314428280906,1.0,1.0,gemma4,AMD,False,False,committed_gold__committed_pred,True,False,True,correct,AMD
F2,F,company_choice,1,10,oracle_evidence,False,MSFT|GOOGL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,GOOGL,0.0,0.0,0.0,"{""MSFT"": 0.0, ""GOOGL"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.251314428280906,1.0,1.0,gemma4,GOOGL,False,False,committed_gold__committed_pred,True,False,True,correct,MSFT
F20,F,yes_no_mixed,1,10,oracle_evidence,True,META,1.0,True,0.4227090878059908,0.412742698464818,0.0099663893411727,0.4477090878059908,0.4627426984648181,0.0,0.3049201523582002,0.2977309221191609,0.0071892302390392,0.0235774191487149,insufficient_data,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.15, ""insufficient_data"": 0.85}",0.3250829733914482,0.5004024235381879,10,10,0.0,False,1.745,2.4849066497880004,0.0,0.0,gemma4,no,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,META
F21,F,company_choice,1,10,oracle_evidence,True,MSFT|AAPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,AAPL,0.0,0.0,0.0,"{""MSFT"": 0.0, ""AAPL"": 1.0, ""similar"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,MSFT,False,False,committed_gold__committed_pred,False,True,False,wrong_direction_commitment,MSFT
F22,F,open_summary_with_canonical_claim,1,10,oracle_evidence,True,TSLA,1.0,True,0.6931471805599453,0.0,0.6931471805599453,0.7181471805599453,0.0,0.7181471805599453,0.6309297535714574,0.0,0.6309297535714574,1.0,claim_false,0.5,1.0,0.0,"{""claim_true"": 0.0, ""claim_false"": 0.5, ""mixed"": 0.5}",-0.0,-0.0,10,10,0.0,False,1.5,2.19722457733622,0.0,0.0,gemma4,claim_true,False,False,committed_gold__committed_pred,False,True,False,wrong_direction_commitment,TSLA
F23,F,valuation_judgment,1,10,oracle_evidence,True,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""expensive"": 0.0, ""fair"": 0.0, ""cheap"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,expensive,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NONE
F24,F,category_choice,1,10,oracle_evidence,True,AMZN,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""growth"": 0.0, ""value"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,growth,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,AMZN
F25,F,company_choice,1,10,oracle_evidence,True,NFLX|DIS,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""NFLX"": 0.0, ""DIS"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.251314428280906,1.0,1.0,gemma4,insufficient_data,True,True,noncommit_gold__noncommit_pred,True,False,True,correct,NFLX
F26,F,valuation_judgment,1,10,oracle_evidence,True,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""undervalued"": 0.0, ""fairly_priced"": 0.0, ""overvalued"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,undervalued,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NONE
F27,F,open_summary_with_canonical_claim,1,10,oracle_evidence,True,NVDA,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""claim_true"": 0.0, ""claim_false"": 0.0, ""mixed"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.19722457733622,0.0,0.0,gemma4,claim_true,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NVDA
F28,F,valuation_judgment,1,10,oracle_evidence,True,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""expensive"": 0.0, ""fair"": 0.0, ""cheap"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,expensive,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NONE
F29,F,company_choice,1,10,oracle_evidence,True,QCOM|INTC,1.0,True,0.6931471805599453,0.0,0.6931471805599453,0.7181471805599453,0.0,0.7181471805599453,0.6309297535714574,0.0,0.6309297535714574,1.0,QCOM,0.5,1.0,0.0,"{""QCOM"": 0.5, ""INTC"": 0.0, ""insufficient_data"": 0.5}",-0.0,-0.0,10,10,0.5,True,0.5,0.8109302162163288,0.0,1.0,gemma4,QCOM,False,False,committed_gold__committed_pred,True,False,True,correct,QCOM
F3,F,graded_judgment,1,10,oracle_evidence,True,TSLA,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""higher"": 0.0, ""similar"": 0.0, ""lower"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,gemma4,insufficient_data,True,True,noncommit_gold__noncommit_pred,True,False,True,correct,TSLA
F30,F,yes_no_mixed,1,10,oracle_evidence,True,META,1.0,True,0.5623351446188083,0.3465735902799726,0.2157615543388356,0.5873351446188083,0.3715735902799726,0.2157615543388356,0.4056390622295664,0.25,0.1556390622295664,0.3836885465963443,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.75, ""insufficient_data"": 0.25}",0.6931471805599453,-0.0,10,10,0.75,True,0.125,0.5389965007326869,0.5,1.0,gemma4,mixed,True,True,noncommit_gold__noncommit_pred,True,False,True,correct,META
F31,F,company_choice,1,10,oracle_evidence,False,AMZN|WMT|COST,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,COST,0.0,0.0,0.0,"{""AMZN"": 0.0, ""WMT"": 0.0, ""COST"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,gemma4,COST,False,False,committed_gold__committed_pred,True,False,True,correct,AMZN
F32,F,open_summary_with_canonical_claim,1,10,oracle_evidence,False,NVDA,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,claim_false,0.0,0.0,0.0,"{""claim_true"": 0.0, ""claim_false"": 1.0, ""mixed"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.19722457733622,0.0,0.0,gemma4,claim_true,False,False,committed_gold__committed_pred,False,True,False,wrong_direction_commitment,NVDA
F33,F,yes_no_mixed,1,10,oracle_evidence,True,TSLA,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,no,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,TSLA
F34,F,graded_judgment,1,10,oracle_evidence,False,GOOGL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""more_efficient"": 0.0, ""similar"": 0.0, ""less_efficient"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,more_efficient,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,GOOGL
F35,F,open_summary_with_canonical_claim,1,10,oracle_evidence,False,AAPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,claim_false,0.0,0.0,0.0,"{""claim_true"": 0.0, ""claim_false"": 1.0, ""mixed"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.19722457733622,0.0,0.0,gemma4,claim_true,False,False,committed_gold__committed_pred,False,True,False,wrong_direction_commitment,AAPL
F36,F,yes_no_mixed,1,10,oracle_evidence,False,AMD,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,no,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,AMD
F37,F,company_choice,1,10,oracle_evidence,False,NFLX|AAPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,AAPL,0.0,0.0,0.0,"{""NFLX"": 0.0, ""AAPL"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.251314428280906,1.0,1.0,gemma4,AAPL,False,False,committed_gold__committed_pred,True,False,True,correct,NFLX
F38,F,category_choice,1,10,oracle_evidence,True,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""productive"": 0.0, ""aging"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,aging,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NONE
F39,F,graded_judgment,1,10,oracle_evidence,False,AVGO,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""efficient"": 0.0, ""moderate"": 0.0, ""inefficient"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,moderate,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,AVGO
F4,F,yes_no_mixed,1,10,oracle_evidence,True,NVDA,1.0,True,0.6931471805599453,0.3250829733914482,0.3680642071684971,0.7181471805599453,0.3750829733914482,0.3430642071684971,0.5,0.2344977967946405,0.2655022032053594,0.5310044064107188,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.5, ""insufficient_data"": 0.5}",0.3250829733914482,0.3250829733914482,10,10,0.0,False,1.5,2.4849066497880004,0.0,0.0,gemma4,yes,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NVDA
F40,F,company_choice,1,10,oracle_evidence,False,NFLX|ROKU,1.0,True,0.4227090878059908,0.3054321510274467,0.1172769367785441,0.4477090878059909,0.3304321510274468,0.1172769367785441,0.384766393172661,0.2780163249381945,0.1067500682344664,0.2774412478029577,insufficient_data,0.85,1.0,0.7,"{""NFLX"": 0.15, ""ROKU"": 0.0, ""insufficient_data"": 0.85}",-0.0,0.6108643020548935,10,10,0.85,True,0.045,0.3889358061569538,1.0,0.7,gemma4,insufficient_data,True,True,noncommit_gold__noncommit_pred,True,False,True,correct,NFLX
F41,F,screening_top1,1,10,oracle_evidence,False,KHC|CCEP|CSCO|TXN,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,KHC,0.0,0.0,0.0,"{""KHC"": 1.0, ""CCEP"": 0.0, ""CSCO"": 0.0, ""TXN"": 0.0, ""none_clear"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.3101549283038394,1.0,1.0,gemma4,KHC,False,False,committed_gold__committed_pred,True,False,True,correct,KHC
F42,F,yes_no_mixed,1,10,oracle_evidence,False,AAPL|MSFT,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,no,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,AAPL
F43,F,yes_no_mixed,1,10,oracle_evidence,True,AAPL,1.0,True,0.6931471805599453,0.0,0.6931471805599453,0.7181471805599453,0.0,0.7181471805599453,0.5,0.0,0.5,1.0,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.5, ""insufficient_data"": 0.5}",-0.0,-0.0,10,10,0.0,False,1.5,2.4849066497880004,0.0,0.0,gemma4,yes,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,AAPL
F44,F,open_summary_with_canonical_claim,1,10,oracle_evidence,False,AMZN|META,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,claim_true,0.0,0.0,0.0,"{""claim_true"": 1.0, ""claim_false"": 0.0, ""mixed"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.251314428280906,1.0,1.0,gemma4,claim_true,False,False,committed_gold__committed_pred,True,False,True,correct,AMZN
F45,F,category_choice,1,10,oracle_evidence,True,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""high_dividends"": 0.0, ""high_buybacks"": 0.0, ""similar"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,high_buybacks,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NONE
F46,F,category_choice,1,10,oracle_evidence,True,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""red_flag"": 0.0, ""smart_allocation"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,smart_allocation,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NONE
F47,F,premise_check,1,10,oracle_evidence,True,INTC,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""premise_false"": 0.0, ""premise_true_explained"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.19722457733622,0.0,0.0,gemma4,premise_false,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,INTC
F49,F,yes_no_mixed,1,10,oracle_evidence,True,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,no,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NONE
F5,F,yes_no_mixed,1,10,oracle_evidence,True,AMZN,1.0,True,0.5004024235381879,0.4679736377231708,0.032428785815017,0.5254024235381879,0.5179736377231708,0.007428785815017,0.3609640474436811,0.3375716232049934,0.0233924242386877,0.0648054131827006,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.8, ""insufficient_data"": 0.2}",0.6108643020548935,0.3250829733914482,10,10,0.0,False,1.6800000000000002,2.4849066497880004,0.0,0.0,gemma4,yes,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,AMZN
F50,F,screening_top1,1,10,oracle_evidence,True,APP|LRCX|KLAC|NVDA|AAPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,NVDA,0.0,0.0,0.0,"{""APP"": 0.0, ""LRCX"": 0.0, ""KLAC"": 0.0, ""NVDA"": 1.0, ""AAPL"": 0.0, ""none_clear"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.890371757896165,0.0,0.0,gemma4,APP,False,False,committed_gold__committed_pred,False,True,False,wrong_direction_commitment,APP
F6,F,open_summary_with_canonical_claim,1,10,oracle_evidence,False,NVDA,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,claim_false,0.0,0.0,0.0,"{""claim_true"": 0.0, ""claim_false"": 1.0, ""mixed"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.19722457733622,0.0,0.0,gemma4,mixed,True,False,noncommit_gold__committed_pred,False,True,False,overcommitment,NVDA
F7,F,yes_no_mixed,1,10,oracle_evidence,True,INTC,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,gemma4,mixed,True,True,noncommit_gold__noncommit_pred,True,False,True,correct,INTC
F8,F,graded_judgment,1,10,oracle_evidence,True,NFLX,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""higher"": 0.0, ""similar"": 0.0, ""lower"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,higher,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NFLX
F9,F,yes_no_mixed,1,10,oracle_evidence,True,META,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,no,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,META
FT1,FT,supportive_judgment,1,10,oracle_evidence,True,AAPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,conditional,1.0,1.0,1.0,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,gemma4,conditional,True,True,noncommit_gold__noncommit_pred,True,False,True,correct,AAPL
FT10,FT,supportive_judgment,1,10,oracle_evidence,True,QCOM,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,conditional,1.0,1.0,1.0,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,supportive,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,QCOM
FT11,FT,supportive_judgment,1,10,oracle_evidence,False,COST,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,conditional,1.0,1.0,1.0,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,unsupportive,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,COST
FT12,FT,yes_no_mixed,1,10,oracle_evidence,False,AMD,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,yes,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,AMD
FT13,FT,supportive_judgment,1,10,oracle_evidence,True,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,unsupportive,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NONE
FT14,FT,category_choice,1,10,oracle_evidence,False,AVGO,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""sustainable"": 0.0, ""take_profits"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,take_profits,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,AVGO
